,Type Water Body,State Name,Temperature (C) - Min,Temperature (C) - Max,Dissolved - Min,Dissolved - Max,pH - Min,pH - Max,BOD (mg/L) - Min,BOD (mg/L) - Max,Total Coliform (MPN/100ml) - Min,Total Coliform (MPN/100ml) - Max
54,CANAL,ANDHRA PRADESH,25.0,30.0,4.5,6.5,7.3,8.3,1.1,2.8,75,460.0
55,CANAL,ANDHRA PRADESH,22.0,28.0,4.2,8.4,7.5,8.0,1.2,2.8,120,460.0
56,CANAL,ANDHRA PRADESH,25.0,27.0,3.4,7.0,6.3,8.4,2.4,5.2,64,1100.0
57,CANAL,ANDHRA PRADESH,22.0,30.0,3.4,8.1,7.2,8.4,1.6,4.2,120,240.0
58,CANAL,DELHI,,,0.3,1.5,6.9,7.7,32,46.0,,
59,CANAL,DELHI,,,,,7.1,7.8,,,,
60,CANAL,GOA,27.0,31.0,5,7.4,5.7,7.3,1,1.7,1400,9200.0
61,CANAL,GOA,26.0,31.0,4.4,8.2,5.9,7.4,1,2.0,400,7900.0
62,CANAL,GOA,26.0,30.0,4.2,7.5,6.7,7.8,1.1,1.9,920,3500.0
63,CANAL,GUJARAT,27.0,33.0,4.8,7.6,7.4,8.3,1,1.3,4,21.0
64,LAKE,ASSAM,23.0,34.0,5.1,9.6,6.6,8.0,3.5,5.8,360,3500.0
65,LAKE,ASSAM,23.0,32.0,5.6,10.4,7.0,9.2,5,6.0,2,1600.0
66,LAKE,ASSAM,21.0,34.0,5.2,5.6,7.0,7.6,1.9,2.5,720,1400.0
67,LAKE,ASSAM,23.0,27.0,5.1,5.5,6.8,7.4,2.3,5.5,730,1500.0
68,LAKE,ASSAM,16.0,34.0,4.3,5.5,7.0,7.5,2.3,2.8,720,2000.0
69,LAKE,ASSAM,17.0,24.0,5.1,5.8,6.8,7.2,2.2,2.6,620,1500.0
70,LAKE,ASSAM,22.0,24.0,4.5,7.8,6.9,7.3,2,2.6,600,1300.0
71,LAKE,ASSAM,21.0,34.0,5,8.0,6.8,7.7,2,2.6,620,1500.0
72,LAKE,ASSAM,19.0,32.0,5.1,7.4,6.6,7.5,1.9,2.5,600,910.0
73,LAKE,ASSAM,20.0,37.0,0.3,6.2,7.1,7.7,21,26.2,1500,3600.0
74,LAKE,ASSAM,22.0,35.0,5,5.6,7.0,7.5,2.1,2.6,720,2000.0
75,LAKE,ASSAM,23.0,27.0,5.1,9.7,6.6,7.2,1.9,2.7,730,1500.0
76,LAKE,ASSAM,22.0,26.0,5,9.5,6.7,8.0,1.8,2.7,610,1400.0
77,LAKE,ASSAM,22.0,24.0,4,5.5,6.5,7.3,2.1,2.7,910,1400.0
78,LAKE,ASSAM,22.0,23.0,5,7.1,6.8,7.3,2,2.4,720,1500.0
79,LAKE,ASSAM,21.0,39.0,5.1,6.1,6.8,7.4,2,2.4,1100,2100.0
80,LAKE,ASSAM,21.0,34.0,5,7.2,7.0,7.5,2,2.7,600,1400.0
81,LAKE,ASSAM,16.0,34.0,4.9,5.9,6.8,7.3,2,2.5,910,1400.0
82,LAKE,ASSAM,18.0,36.0,5.3,9.3,6.8,8.0,1.8,2.5,620,1100.0
83,LAKE,ASSAM,18.0,30.0,0.3,4.6,7.0,7.5,10.6,19.2,2700,3600.0
84,LAKE,ASSAM,20.0,24.0,4.5,6.9,6.8,7.3,2,2.8,910,1200.0
85,LAKE,ASSAM,19.0,30.0,0.3,1.1,7.0,7.5,14.6,25.8,4200,5300.0
86,POND,ASSAM,19.0,23.0,4.1,5.6,6.8,7.3,2,2.9,910,1300.0
87,POND,ASSAM,18.0,32.0,5,7.6,6.7,7.8,1.8,2.7,730,1200.0
88,POND,ASSAM,22.0,34.0,6.1,10.9,6.8,7.8,2,2.6,720,2000.0
89,POND,ASSAM,20.0,34.0,5.2,7.9,6.8,7.5,1.9,2.8,700,910.0
90,POND,ASSAM,21.0,36.0,5.1,8.4,6.8,7.8,2.1,2.8,700,1100.0
91,POND,ASSAM,20.0,36.0,5.1,10.0,7.9,8.2,2.3,2.8,1400,1600.0
92,POND,ASSAM,22.0,35.0,5.4,10.1,7.0,7.9,2,2.6,600,1400.0
93,POND,ASSAM,22.0,35.0,5,7.5,6.7,7.5,1.6,2.7,730,1500.0
94,POND,ASSAM,21.0,30.0,6.8,7.3,6.8,7.6,2,2.7,910,1200.0
95,POND,ASSAM,21.0,35.0,5.7,8.1,6.7,7.5,2,2.8,600,1500.0
96,POND,ASSAM,20.0,34.0,7,7.3,6.8,7.5,2,2.5,730,1600.0
97,POND,ASSAM,20.0,32.0,5.1,7.6,6.9,7.6,1.8,2.6,600,910.0
98,POND,ASSAM,20.0,31.0,5,7.7,6.9,7.8,2.1,2.8,1400,2000.0
99,POND,ASSAM,22.0,35.0,5,5.4,6.9,7.6,1.8,2.5,720,1600.0
100,POND,ASSAM,22.0,35.0,5.6,7.6,6.7,7.4,2.1,2.6,720,730.0
101,POND,ASSAM,20.0,34.0,6.8,7.2,6.9,7.6,2.2,2.7,600,1500.0
102,POND,ASSAM,23.0,38.0,5.1,5.4,6.9,7.5,2,2.5,910,1300.0
103,POND,ASSAM,22.0,35.0,5,5.5,6.9,7.4,2,2.6,730,1400.0
104,POND,ASSAM,23.0,36.0,5.3,7.9,6.9,7.9,2,2.7,720,1100.0
105,POND,ASSAM,22.0,24.0,5.1,6.2,6.5,7.2,2.3,2.9,910,1400.0
106,POND,ASSAM,21.0,34.0,5.2,7.9,6.8,7.6,2,2.8,730,1100.0
107,POND,ASSAM,20.0,32.0,5,8.5,6.8,7.6,2.2,2.8,1100,2000.0
108,POND,ASSAM,21.0,35.0,5.2,8.1,6.6,7.7,1.9,2.5,730,1500.0
109,POND,ASSAM,22.0,36.0,5,7.8,6.6,7.4,2,2.6,620,910.0
110,MARINE,ANDHRA PRADESH,21.0,34.0,5,8.0,7.2,8.1,1.6,2.4,64,95.0
111,MARINE,ANDHRA PRADESH,25.0,32.0,5.3,8.5,7.4,8.1,1.6,2.5,64,95.0
112,BEACH,ANDHRA PRADESH,26.0,29.0,5,8.2,7.1,8.5,1.5,2.2,64,120.0
113,BEACH,ANDHRA PRADESH,24.0,29.0,3.2,7.0,7.0,7.9,BDL,2.8,49,93.0
114,SEA,ANDHRA PRADESH,23.0,29.0,3.8,7.2,7.0,8.0,1.9,3.0,64,120.0
115,SEA,ANDHRA PRADESH,23.0,30.0,2,6.6,7.0,8.0,2.2,5.8,75,120.0
116,MARINE,ANDHRA PRADESH,24.0,30.0,4.5,7.8,7.0,8.2,1.5,3.5,64,120.0
117,BEACH,ANDHRA PRADESH,25.0,30.0,3.4,5.3,7.0,7.8,2,2.8,43,120.0
118,MARINE,ANDHRA PRADESH,21.0,25.0,3.6,5.3,7.1,8.0,2,2.8,43,120.0
119,BEACH,ANDHRA PRADESH,22.0,25.0,3.6,5.9,7.1,8.0,2.2,2.8,23,93.0
120,BEACH,ANDHRA PRADESH,22.0,25.0,3.5,5.7,6.8,8.0,2.4,2.8,23,120.0
121,MARINE,ANDHRA PRADESH,18.0,23.0,3.7,5.6,7.1,8.0,2.4,2.8,23,120.0
122,CREEK,GOA,25.0,32.0,4.2,8.0,6.6,7.7,BDL,2.4,1100,4900.0
123,BEACH,GOA,27.0,31.0,6.4,7.7,7.6,8.2,BDL,1.9,49,920.0
124,BEACH,GOA,27.0,29.0,6,7.5,7.0,8.0,BDL,2.0,33,350.0
125,BEACH,GOA,27.0,30.0,6.1,7.0,6.5,7.9,1.1,1.9,130,280.0
126,BEACH,GOA,28.0,31.0,6,7.7,7.7,8.3,BDL,1.9,23,920.0
127,BEACH,GOA,27.0,32.0,5.8,7.1,6.7,7.8,BDL,1.9,33,540.0
128,CANAL,ANDHRA PRADESH,22.0,29.0,2.8,6.0,6.8,8.6,2,3.8,120,210.0
129,CANAL,ANDHRA PRADESH,24.0,30.0,1.8,6.5,6.6,8.0,3.8,5.2,210,460.0
130,CANAL,ANDHRA PRADESH,24.0,26.0,5.4,6.6,7.2,7.9,3.2,6.0,460,470.0
131,CANAL,ANDHRA PRADESH,25.0,29.0,5.5,8.0,6.7,7.9,1.4,2.2,93,120.0
132,CANAL,ANDHRA PRADESH,22.0,28.0,2.3,6.5,7.1,7.7,1.6,4.2,150,240.0
133,CANAL,ANDHRA PRADESH,23.0,27.0,2.2,8.5,7.0,8.1,1.3,3.8,120,240.0
134,CANAL,DELHI,17.0,27.0,BDL,1.4,7.1,7.8,26,77.0,790000,14000000.0
135,CANAL,GOA,27.0,31.0,5,8.1,6.1,7.9,BDL,2.8,1300,3300.0
136,CANAL,GOA,27.0,31.0,4.5,8.0,6.4,7.8,BDL,2.1,1700,4900.0
137,CANAL,GOA,27.0,31.0,4.2,8.1,6.1,7.7,1.2,2.0,1300,4900.0
138,CANAL,GUJARAT,26.0,30.0,4.6,7.3,7.6,8.1,BDL,1.1,6,47.0
139,CANAL,GUJARAT,25.0,37.0,6.6,8.9,7.8,8.5,BDL,,20,170.0
140,CANAL,GUJARAT,21.0,29.0,6.8,8.3,7.0,8.4,BDL,,21,70.0
141,RIVER,HIMACHAL PRADESH,8.5,15.0,8.5,9.0,7.3,8.2,1,1.0,2,12.0
142,RIVER,HIMACHAL PRADESH,8.6,14.5,8.6,9.4,7.5,8.5,1,1.0,2,94.0
143,RIVER,HIMACHAL PRADESH,8.4,14.5,8.4,9.4,7.2,8.4,1,1.0,2,110.0
144,RIVER,HIMACHAL PRADESH,8.3,23.0,8.3,9.8,7.1,8.3,1,1.0,2,2.0
145,RIVER,HIMACHAL PRADESH,8.2,23.0,8.2,9.7,7.1,8.2,1,1.0,2,2.0
146,RIVER,HIMACHAL PRADESH,8.9,14.0,8.9,9.5,7.4,8.3,1,1.0,2,2.0
147,RIVER,HIMACHAL PRADESH,8.9,14.0,8.9,9.5,7.1,8.2,1,1.0,2,5.0
148,RIVER,HIMACHAL PRADESH,9.0,25.0,9,9.6,7.1,7.7,2,2.0,8,330.0
149,RIVER,HIMACHAL PRADESH,8.2,21.0,8.2,9.7,7.3,8.1,1,1.0,2,2.0
150,RIVER,HIMACHAL PRADESH,8.5,21.0,8.5,9.6,7.2,8.0,1,1.0,2,2.0
151,RIVER,HIMACHAL PRADESH,8.2,26.0,8.2,9.4,7.0,7.9,1,1.0,2,2.0
152,RIVER,PUNJAB,8.9,26.0,8.9,10.2,7.1,7.7,2,2.0,11,540.0
153,RIVER,PUNJAB,7.3,22.0,7.3,10.1,7.5,8.6,1,1.0,-,
154,DRAIN,ANDHRA PRADESH,22.0,25.0,0.3,1.8,6.9,7.9,17.8,37.0,2300,5200.0
155,DRAIN,ANDHRA PRADESH,24.0,26.0,4.9,6.9,6.7,7.6,2.4,3.6,75,460.0
156,WATER TREATMENT PLANT (RAW WATER),HARYANA,22.0,30.0,7,7.7,7.0,7.8,1,1.0,1900,2900.0
157,WATER TREATMENT PLANT (RAW WATER),HARYANA,26.0,32.0,7,7.3,7.2,8.0,1,1.0,2700,5100.0
158,DRAIN,HIMACHAL PRADESH,12.0,29.0,8.2,9.3,6.9,8.2,1,1.0,130,540.0
159,DRAIN,HIMACHAL PRADESH,1.0,13.0,7.5,8.9,6.8,8.0,1,1.0,58,280.0
160,DRAIN,HIMACHAL PRADESH,12.0,28.0,3.9,6.1,7.6,8.0,1,20.0,26,1600.0
161,DRAIN,HIMACHAL PRADESH,11.0,26.0,0.3,6.2,7.1,8.1,1.2,90.0,130,1600.0
162,DRAIN,HIMACHAL PRADESH,8.0,15.0,7.8,9.2,7.5,8.3,1,1.0,26,1600.0
163,DRAIN,HIMACHAL PRADESH,9.0,19.0,7.1,8.2,7.9,8.4,1,1.0,20,1600.0
164,DRAIN,HIMACHAL PRADESH,8.0,13.0,9.4,9.6,7.6,8.3,1,1.0,7,1600.0
165,DRAIN,HIMACHAL PRADESH,19.0,28.0,7.6,8.5,6.6,7.9,1,2.3,21,47.0
166,DRAIN,HIMACHAL PRADESH,5.0,18.0,7.3,8.3,7.1,8.5,1,1.0,140,540.0
167,DRAIN,HIMACHAL PRADESH,8.0,14.0,7.6,9.3,7.6,8.3,1,1.0,2,1600.0
168,DRAIN,HIMACHAL PRADESH,8.0,15.0,8.8,9.4,7.5,8.3,1,1.0,23,3500.0
169,DRAIN,HIMACHAL PRADESH,8.0,15.0,8.8,9.4,7.5,8.4,1,1.0,33,3500.0
170,DRAIN,HIMACHAL PRADESH,10.0,16.0,8.5,9.1,7.0,8.1,1,1.0,47,1600.0
171,DRAIN,HIMACHAL PRADESH,2.0,18.0,7.8,8.8,7.2,8.0,1,1.0,140,920.0
172,DRAIN,HIMACHAL PRADESH,8.0,13.0,9,9.5,7.0,8.2,1,1.0,94,3500.0
173,DRAIN,HIMACHAL PRADESH,19.0,28.0,7.5,8.5,6.5,8.1,1,2.1,17,70.0
174,DRAIN,HIMACHAL PRADESH,10.0,15.0,7.4,7.8,7.9,8.4,1,1.8,21,350.0
175,DRAIN,HIMACHAL PRADESH,9.0,23.0,6.4,8.1,5.9,8.3,1.5,12.0,540,1600.0
176,DRAIN,HIMACHAL PRADESH,8.0,13.0,9.3,9.7,7.5,8.3,1,1.0,21,1600.0
177,DRAIN,HIMACHAL PRADESH,3.0,12.0,8,9.2,6.6,8.5,1,1.0,84,540.0
178,DRAIN,HIMACHAL PRADESH,8.0,15.0,8.8,9.7,7.6,8.2,1,1.0,94,5400.0
179,DRAIN,HIMACHAL PRADESH,8.0,14.0,8.5,9.7,7.5,8.2,1,1.0,63,9200.0
180,DRAIN,HIMACHAL PRADESH,9.0,19.0,7,8.2,7.6,8.4,1,1.0,26,1600.0
181,DRAIN,HIMACHAL PRADESH,3.0,18.0,7.6,8.5,7.2,7.9,1,1.0,79,540.0
182,DRAIN,HIMACHAL PRADESH,8.0,11.0,4.3,8.7,7.4,8.3,1,26.0,21,1600.0
183,DRAIN,HIMACHAL PRADESH,7.0,9.0,7.2,8.8,7.7,8.3,1,7.5,24,540.0
184,DRAIN,HIMACHAL PRADESH,6.0,8.0,6.8,8.5,7.7,8.3,1,2.6,26,350.0
185,DRAIN,MAHARASHTRA,26.0,36.0,4.4,5.2,7.2,8.1,7.2,13.0,150,900.0
186,DRAIN,MAHARASHTRA,20.0,29.0,0.3,6.0,7.4,8.0,3,18.0,45,180.0
187,DRAIN,MAHARASHTRA,26.0,31.0,7,7.9,6.0,7.2,1.8,3.0,21,43.0
188,DRAIN,ODISHA,23.0,31.0,1.2,6.8,6.9,7.7,4.3,8.0,7900,160000.0
189,STP,TAMIL NADU,25.0,39.0,0.3,6.0,6.7,7.9,4,18.0,2,22000.0
190,DRAIN,TELANGANA,25.0,29.0,1.6,6.0,8.5,11.2,1,5.4,17,280.0
191,DRAIN,TELANGANA,25.0,28.0,2.8,6.1,7.5,8.8,1.8,3.2,26,58.0
192,STP,TELANGANA,25.0,31.0,0.9,4.6,6.9,8.2,4.4,30.0,220,920.0
193,WATER TREATMENT PLANT (RAW WATER),UTTAR PRADESH,18.0,26.0,0.3,11.0,7.1,7.5,1,1.0,2,2.0
